nombre,cue,distrito,sector,nivel,modalidad
"ESCUELA DE ADULTOS Nº703 ""PATRICIAS MENDOCINAS""",613279,Almirante Brown,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
ESCUELA DE ADULTOS Nº704,604372,Almirante Brown,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
ESCUELA DE ADULTOS Nº706,613492,Almirante Brown,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
ESCUELA DE ADULTOS Nº714,613080,Almirante Brown,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
ESCUELA DE MUSICA POPULAR,607302,Avellaneda,Estatal,Ciclo Medio,Modalidad Artística
ESCUELA DE MUSICA POPULAR,607302,Avellaneda,Estatal,Nivel Superior (**),Modalidad Artística
CENTRO DE ADULTOS Nº709/05,604305,Avellaneda,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
CENTRO DE ADULTOS Nº710/05,604305,Avellaneda,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
CENTRO DE ADULTOS Nº711/08,607346,Avellaneda,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
CENTRO DE ADULTOS Nº712/02,603777,Avellaneda,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
CENTRO DE ADULTOS Nº713/01,611026,Avellaneda,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
CENTRO DE ADULTOS Nº717/05,604305,Avellaneda,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
CENTRO DE ADULTOS Nº718/02,603777,Avellaneda,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
CENTRO DE ADULTOS Nº722/01,611026,Avellaneda,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
CENTRO DE ADULTOS Nº723/01,611026,Avellaneda,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
ESCUELA DE ADULTOS Nº701,611026,Avellaneda,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
ESCUELA DE ADULTOS Nº702,603777,Avellaneda,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
"ESCUELA DE ADULTOS Nº705 ""FRAY MAMERTO ESQUIU""",604305,Avellaneda,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
"ESCUELA DE ADULTOS Nº708 ""NICOLAS AVELLANEDA""",607346,Avellaneda,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
CENTRO DE FORMACION PROFESIONAL Nº401,615905,Magdalena,Estatal,Formación Profesional,Modalidad de Jóvenes y Adultos
ESCUELA DE EDUCACIÓN ARTÍSTICA Nº1,615102,Magdalena,Estatal,Cursos y Talleres,Modalidad Artística
CENTRO DE ADULTOS Nº702/01,601069,Magdalena,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
CENTRO DE ADULTOS Nº703/01,601069,Magdalena,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
ESCUELA DE ADULTOS Nº701,601069,Magdalena,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
ESCUELA DE ADULTOS Nº706 (ANEXA I. P. F. F. A. A.),600659,Magdalena,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
"ESCUELA ESPECIAL Nº501 ""ANA MARTA EYRA""",601071,Magdalena,Estatal,Nivel Inicial,Modalidad Especial
"ESCUELA ESPECIAL Nº501 ""ANA MARTA EYRA""",601071,Magdalena,Estatal,Formación Integral,Modalidad Especial
"ESCUELA ESPECIAL Nº501 ""ANA MARTA EYRA""",601071,Magdalena,Estatal,Nivel Primario,Modalidad Especial
"ESCUELA ESPECIAL Nº501 ""ANA MARTA EYRA""",601071,Magdalena,Estatal,Formación Profesional,Modalidad Especial
"ESCUELA DE EDUCACIÓN ARTÍSTICA Nº1 ""MAFALDA""",615005,Ayacucho,Estatal,Cursos y Talleres,Modalidad Artística
CENTRO DE ADULTOS Nº702/01,603503,Ayacucho,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
"ESCUELA DE ADULTOS Nº701 ""ALMAFUERTE""",603503,Ayacucho,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
"ESCUELA ESPECIAL Nº501 ""NAIR AUGE DE PATALAGOYTI""",603427,Ayacucho,Estatal,Nivel Inicial,Modalidad Especial
"ESCUELA ESPECIAL Nº501 ""NAIR AUGE DE PATALAGOYTI""",603427,Ayacucho,Estatal,Nivel Primario,Modalidad Especial
"ESCUELA ESPECIAL Nº501 ""NAIR AUGE DE PATALAGOYTI""",603427,Ayacucho,Estatal,Formación Integral,Modalidad Especial
"C.E.A.T. Nº1 ""DR. FLORENCIO ESCARDO""",615006,Ayacucho,Estatal,Nivel Inicial,Modalidad Especial
"CENTRO DE EDUCACION FISICA Nº32 ""JORGE ALBERTO LAVAYEN""",616250,Ayacucho,Estatal,Educación Física (C.E.F.),Educación Física
"ESCUELA NACIONAL DE BELLAS ARTES Nº2 ""LUCIANO FORTABAT""",606345,Azul,Estatal,Ciclo de Iniciación,Modalidad Artística
"ESCUELA NACIONAL DE BELLAS ARTES Nº2 ""LUCIANO FORTABAT""",606345,Azul,Estatal,Nivel Superior (**),Modalidad Artística
"ESCUELA DE EDUCACIÓN ARTÍSTICA Nº1 ""JUANITO LAGUNA""",615008,Azul,Estatal,Cursos y Talleres,Modalidad Artística
CENTRO DE ADULTOS Nº703,604749,Azul,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
CENTRO DE ADULTOS Nº708/02,605510,Azul,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
CENTRO DE ADULTOS Nº709/02,605510,Azul,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
CENTRO DE ADULTOS Nº710,611212,Azul,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
"ESCUELA DE ADULTOS Nº702 ""SOCRATES AUGUSTO LUCIANO MAYET""",605510,Azul,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
ESCUELA DE DANZA CLASICA,614556,Bahía Blanca,Estatal,Nivel Superior (**),Modalidad Artística
ESCUELA DE DANZA CLASICA,614556,Bahía Blanca,Estatal,Ciclo de Iniciación,Modalidad Artística
ESCUELA DE DANZA CLASICA,614556,Bahía Blanca,Estatal,Ciclo Medio,Modalidad Artística
ESCUELA DE EDUCACIÓN ARTÍSTICA Nº1,615011,Bahía Blanca,Estatal,Cursos y Talleres,Modalidad Artística
CONSERVATORIO DE MUSICA,607679,Bahía Blanca,Estatal,Nivel Superior (**),Modalidad Artística
CONSERVATORIO DE MUSICA,607679,Bahía Blanca,Estatal,Ciclo de Iniciación,Modalidad Artística
CONSERVATORIO DE MUSICA,607679,Bahía Blanca,Estatal,Ciclo Medio,Modalidad Artística
ESCUELA DE TEATRO,614558,Bahía Blanca,Estatal,Nivel Superior (**),Modalidad Artística
ESCUELA DE TEATRO,614558,Bahía Blanca,Estatal,Ciclo de Iniciación,Modalidad Artística
ESCUELA DE TEATRO,614558,Bahía Blanca,Estatal,Ciclo Medio,Modalidad Artística
"ESCUELA ARTES VISUALES ""LINO SPILIMBERGO""",607677,Bahía Blanca,Estatal,Nivel Superior (**),Modalidad Artística
"ESCUELA ARTES VISUALES ""LINO SPILIMBERGO""",607677,Bahía Blanca,Estatal,Ciclo de Iniciación,Modalidad Artística
CENTRO DE EDUCACION DE ADULTOS Nº720,604982,Coronel Suárez,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
CENTRO DE EDUCACION DE ADULTOS Nº702,607510,Coronel Suárez,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
CENTRO DE EDUCACION DE ADULTOS Nº703,611254,Coronel Suárez,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
"CENTRO DE ADULTOS Nº701 ""MANUEL ISIDORO SUAREZ""",600274,Coronel Suárez,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
"ESCUELA ESPECIAL Nº501 ""MARIA MONTESSORI""",605935,Coronel Suárez,Estatal,Formación Integral,Modalidad Especial
"ESCUELA ESPECIAL Nº501 ""MARIA MONTESSORI""",605935,Coronel Suárez,Estatal,Nivel Primario,Modalidad Especial
"ESCUELA ESPECIAL Nº501 ""MARIA MONTESSORI""",605935,Coronel Suárez,Estatal,Nivel Inicial,Modalidad Especial
"ESCUELA DE ARTE ""ASTOR PIAZZOLLA""",606212,Balcarce,Estatal,Cursos y Talleres,Modalidad Artística
"ESCUELA DE ARTE ""ASTOR PIAZZOLLA""",606212,Balcarce,Estatal,Nivel Superior (**),Modalidad Artística
"ESCUELA DE ARTE ""ASTOR PIAZZOLLA""",606212,Balcarce,Estatal,Ciclo de Iniciación,Modalidad Artística
"ESCUELA DE ARTE ""ASTOR PIAZZOLLA""",606212,Balcarce,Estatal,Ciclo Medio,Modalidad Artística
ESCUELA DE EDUCACIÓN ARTÍSTICA Nº1,615019,Balcarce,Estatal,Cursos y Talleres,Modalidad Artística
CENTRO DE ADULTOS Nº704/01,606143,Balcarce,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
CENTRO DE ADULTOS Nº705/01,606143,Balcarce,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
CENTRO DE ADULTOS Nº706/01,606143,Balcarce,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
CENTRO DE ADULTOS Nº707,606175,Balcarce,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
CENTRO DE ADULTOS Nº708/02,606175,Balcarce,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
"ESCUELA DE ADULTOS Nº701 ""DON JOSÉ DE LA CUADRA""",606143,Balcarce,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
"ESCUELA DE ADULTOS Nº702 ""PERITO MORENO""",606175,Balcarce,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
ESCUELA ESPECIAL Nº501,600498,Balcarce,Estatal,Formación Integral,Modalidad Especial
ESCUELA ESPECIAL Nº501,600498,Balcarce,Estatal,Nivel Primario,Modalidad Especial
ESCUELA ESPECIAL Nº501,600498,Balcarce,Estatal,Formación Profesional,Modalidad Especial
ESCUELA ESPECIAL Nº501,600498,Balcarce,Estatal,"Residencia Laboral,Pasantias, Artística",Modalidad Especial
ESCUELA ESPECIAL Nº501,600498,Balcarce,Estatal,Nivel Inicial,Modalidad Especial
CENTRO DE ADULTOS Nº701,605213,Baradero,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
CENTRO DE ADULTOS Nº703,605395,Baradero,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
"CENTRO DE ADULTOS Nº704 ""GABRIELA BAGALÚ""",605405,Baradero,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
"ESCUELA ESPECIAL Nº502 ""MARIA MONTESSORI""",605404,Baradero,Estatal,Formación Integral,Modalidad Especial
"ESCUELA ESPECIAL Nº502 ""MARIA MONTESSORI""",605404,Baradero,Estatal,Nivel Primario,Modalidad Especial
"ESCUELA ESPECIAL Nº502 ""MARIA MONTESSORI""",605404,Baradero,Estatal,Nivel Inicial,Modalidad Especial
"ESCUELA ESPECIAL Nº502 ""MARIA MONTESSORI""",605404,Baradero,Estatal,Formación Profesional,Modalidad Especial
CENTRO DE EDUCACION FÍSICA Nº39,616467,Baradero,Estatal,Educación Física (C.E.F.),Educación Física
CENTRO DE ADULTOS Nº702,613508,Arrecifes,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
CENTRO DE ADULTOS Nº703,613508,Arrecifes,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
CENTRO DE ADULTOS Nº704,613508,Arrecifes,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
"ESCUELA DE ADULTOS Nº701 ""DOMINGO F. SARMIENTO""",613508,Arrecifes,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
"ESCUELA ESPECIAL Nº501 ""LEANDRO PICOY ALCOBE""",610838,Arrecifes,Estatal,Nivel Inicial,Modalidad Especial
"ESCUELA ESPECIAL Nº501 ""LEANDRO PICOY ALCOBE""",610838,Arrecifes,Estatal,Formación Profesional,Modalidad Especial
"ESCUELA ESPECIAL Nº501 ""LEANDRO PICOY ALCOBE""",610838,Arrecifes,Estatal,Formación Integral,Modalidad Especial
"ESCUELA ESPECIAL Nº501 ""LEANDRO PICOY ALCOBE""",610838,Arrecifes,Estatal,Nivel Primario,Modalidad Especial
"CENTRO DE EDUCACION FÍSICA Nº84 ""RUBEN LUIS DI PALMA""",616257,Arrecifes,Estatal,Educación Física (C.E.F.),Educación Física
INSTITUTO SUPERIOR DE FORMACION DOCENTE Nº123 ENRIQUE UDANDO,610833,Arrecifes,Estatal,Nivel Superior (**),Educación Común
"JARDÍN DE INFANTES Nº901 ""GABRIELA MISTRAL""",604336,Arrecifes,Estatal,Nivel Inicial,Educación Común
"CENTRO DE ADULTOS Nº702 ""MIGUEL CANE""",601708,Bolívar,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
CENTRO DE ADULTOS Nº703,604359,Bolívar,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
CENTRO DE ADULTOS Nº704/01,600785,Bolívar,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
"ESCUELA DE ADULTOS Nº701 ""BARTOLOMÉ MITRE""",600785,Bolívar,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
"ESCUELA ESPECIAL Nº501 ""DOCTOR CARLOS DAROQUI""",606821,Bolívar,Estatal,Formación Integral,Modalidad Especial
"ESCUELA ESPECIAL Nº501 ""DOCTOR CARLOS DAROQUI""",606821,Bolívar,Estatal,Nivel Primario,Modalidad Especial
"ESCUELA ESPECIAL Nº501 ""DOCTOR CARLOS DAROQUI""",606821,Bolívar,Estatal,Nivel Inicial,Modalidad Especial
"ESCUELA ESPECIAL Nº502 ""MARIA LUISA FREIRE DE MAINERI""",612572,Bolívar,Estatal,Nivel Inicial,Modalidad Especial
"ESCUELA ESPECIAL Nº502 ""MARIA LUISA FREIRE DE MAINERI""",612572,Bolívar,Estatal,Formación Integral,Modalidad Especial
"ESCUELA ESPECIAL Nº502 ""MARIA LUISA FREIRE DE MAINERI""",612572,Bolívar,Estatal,Nivel Primario,Modalidad Especial
CENTRO DE ADULTOS Nº703,602655,Bragado,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
"ESCUELA DE ADULTOS Nº701 ""FRAY LUIS BELTRAN""",602654,Bragado,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
ESCUELA ESPECIAL Nº501,606947,Bragado,Estatal,Formación Integral,Modalidad Especial
ESCUELA ESPECIAL Nº501,606947,Bragado,Estatal,Nivel Inicial,Modalidad Especial
ESCUELA ESPECIAL Nº501,606947,Bragado,Estatal,Nivel Primario,Modalidad Especial
"CENTRO DE ATENCIÓN TEMPRANA DEL DESARROLLO INFANTIL Nº1 ""MARÍA ELENA WALSH""",615025,Bragado,Estatal,Nivel Inicial,Modalidad Especial
CENTRO DE EDUCACION FÍSICA Nº59,616259,Bragado,Estatal,Educación Física (C.E.F.),Educación Física
ESCUELA DE EDUCACIÓN ARTÍSTICA Nº1,615027,Brandsen,Estatal,Cursos y Talleres,Modalidad Artística
"CENTRO DE ADULTOS Nº702 ""TOMAS ESPORA""",608377,Brandsen,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
CENTRO DE ADULTOS Nº704/01,611018,Brandsen,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
"ESCUELA DE ADULTOS Nº701 ""TORIBIO DE LUZURIAGA""",611018,Brandsen,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
"ESCUELA ESPECIAL Nº501 ""MARIA JOSÉ LUIS LOPEZ SECO""",605319,Brandsen,Estatal,Nivel Primario,Modalidad Especial
"ESCUELA ESPECIAL Nº501 ""MARIA JOSÉ LUIS LOPEZ SECO""",605319,Brandsen,Estatal,Formación Integral,Modalidad Especial
"ESCUELA ESPECIAL Nº501 ""MARIA JOSÉ LUIS LOPEZ SECO""",605319,Brandsen,Estatal,Nivel Inicial,Modalidad Especial
INSTITUTO SUPERIOR DE FORMACION DOCENTE Nº49,607868,Brandsen,Estatal,Nivel Superior (**),Educación Común
ESCUELA DE ARTE Nº1,605906,Campana,Estatal,Ciclo Medio,Modalidad Artística
ESCUELA DE ARTE Nº1,605906,Campana,Estatal,Ciclo de Iniciación,Modalidad Artística
ESCUELA DE ARTE Nº1,605906,Campana,Estatal,Nivel Superior (**),Modalidad Artística
"CENTRO DE ADULTOS Nº703/01 ""RAFAEL OBLIGADO""",605809,Campana,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
CENTRO DE ADULTOS Nº705/02,605903,Campana,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
CENTRO DE ADULTOS Nº706/02,605903,Campana,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
CENTRO DE ADULTOS Nº707/02,605903,Campana,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
"CENTRO DE ADULTOS Nº708/01 ""RAFAEL OBLIGADO""",605809,Campana,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
"CENTRO DE ADULTOS Nº709/01 ""RAFAEL OBLIGADO""",605809,Campana,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
"ESCUELA DE ADULTOS Nº701 ""RAFAEL OBLIGADO""",605809,Campana,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
"ESCUELA DE ADULTOS Nº702 ""BERNARDINO RIVADAVIA""",605903,Campana,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
"ESCUELA ESPECIAL Nº501 ""DORA B. DE MAESTRI""",611723,Campana,Estatal,Formación Integral,Modalidad Especial
"ESCUELA ESPECIAL Nº501 ""DORA B. DE MAESTRI""",611723,Campana,Estatal,Nivel Inicial,Modalidad Especial
"ESCUELA ESPECIAL Nº501 ""DORA B. DE MAESTRI""",611723,Campana,Estatal,Nivel Primario,Modalidad Especial
ESCUELA ESPECIAL Nº502,600239,Campana,Estatal,Formación Integral,Modalidad Especial
ESCUELA ESPECIAL Nº502,600239,Campana,Estatal,Nivel Inicial,Modalidad Especial
ESCUELA ESPECIAL Nº502,600239,Campana,Estatal,Nivel Primario,Modalidad Especial
CENTRO DE ADULTOS Nº702,608255,Cañuelas,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
CENTRO DE ADULTOS Nº703,601293,Cañuelas,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
CENTRO DE ADULTOS Nº705,601293,Cañuelas,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
"ESCUELA DE ADULTOS Nº701 ""JOSÉ MANUEL ESTRADA""",601293,Cañuelas,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
"ESCUELA ESPECIAL Nº501 ""MINISTRO OSVALDO ZARINI""",601292,Cañuelas,Estatal,Formación Profesional,Modalidad Especial
"ESCUELA ESPECIAL Nº501 ""MINISTRO OSVALDO ZARINI""",601292,Cañuelas,Estatal,Nivel Inicial,Modalidad Especial
"ESCUELA ESPECIAL Nº501 ""MINISTRO OSVALDO ZARINI""",601292,Cañuelas,Estatal,Formación Integral,Modalidad Especial
"ESCUELA ESPECIAL Nº501 ""MINISTRO OSVALDO ZARINI""",601292,Cañuelas,Estatal,Nivel Primario,Modalidad Especial
